;Variable;Media;DevStd;Min;Max
0;TMAX1;31.782982283504708;1.381502066330453;28.42218017578125;33.84549560546875
1;TMAX2;32.71276824191935;1.3868502914392749;28.904241943359374;34.70687255859375
2;TMAX3;33.317650870714225;1.2382816679573467;29.22353515625;35.17520446777344
3;TMAX4;35.40517300044443;1.8949145429979648;28.87157287597656;38.10435485839844
4;TMAX5;31.916951653991703;0.9252638986919625;29.143557739257812;33.7227294921875
5;TMAX6;31.882271607429963;0.9557611606765329;29.225823974609376;34.790673828125
6;TMAX7;33.24273407312141;1.2398834087736668;30.066146850585938;35.415768432617185
7;TMAX8;34.37222592790444;1.4884958253412608;29.748751831054687;36.595480346679686
8;TMAX9;35.65860290629597;1.4161578452929742;30.797393798828125;37.967413330078124
9;TMAX10;36.7807622016012;1.7078289519552368;31.03892822265625;39.273736572265626
10;TMAX11;38.6565045414375;1.927950410036028;31.97417297363281;41.443258666992186
11;TMAX12;40.787304798173636;2.082781946869774;33.40202941894531;43.45598449707031
12;TMAX13;34.344808880864406;0.9048114217086172;31.60802307128906;36.394290161132815
13;TMAX14;34.50915871413809;1.1847446988496568;30.524514770507814;36.65799560546875
14;TMAX15;36.29057314450419;1.5838000844531084;30.49337158203125;38.6551513671875
15;TMAX16;34.10408977363869;0.8229837748121204;31.612271118164063;35.83987121582031
16;TMAX17;36.13408817708606;1.73601927881336;30.869174194335937;39.69954223632813
17;TMAX18;38.544476350351964;1.8812155604021086;31.562710571289063;41.56712646484375
18;TMAX19;40.75745278510921;1.9681908464102382;32.74197692871094;43.430328369140625
19;TMAX20;35.414379878873454;1.4123164507813306;31.269427490234374;38.51427307128906
20;TMAX21;36.26693173415397;1.0756620907975993;33.265707397460936;38.506298828125
21;TMAX22;33.44086609853943;0.7910903429878755;31.31714782714844;35.1202880859375
22;TMAX23;34.61341937950442;0.9282647471518184;31.2143798828125;36.3875
23;TMAX24;37.96294262404158;1.600668630150082;31.858740234375;41.156317138671874
24;TMAX25;35.71341530008792;1.092211003846288;33.27561645507812;37.95675964355469
25;TMAX26;32.18955669688134;0.898107059324394;29.582574462890626;34.28714599609375
26;TMAX27;33.49031311247433;0.8329159431040584;31.198638916015625;35.354217529296875
27;TMAX28;34.4488569214697;1.1726146579145034;30.61335144042969;36.45075378417969
28;TMAX29;36.2634745854104;1.6870837648636083;30.513796997070312;39.19666442871094
29;TMAX30;36.00228260842752;1.3447875454218796;31.41700134277344;38.47110290527344
30;TMAX31;35.038833007453135;1.2388601550031093;30.96979675292969;36.88063354492188
